timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652708026062,1069,Get All Activities Request,200,OK,Endurance Test Group 1-3,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=3,1069,0,811
1652708025968,1163,Get All Activities Request,200,OK,Endurance Test Group 1-1,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=1,1163,0,894
1652708026012,1119,Get All Activities Request,200,OK,Endurance Test Group 1-2,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=2,1119,0,861
1652708026114,1022,Get All Activities Request,200,OK,Endurance Test Group 1-4,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=4,1022,0,765
1652708026162,1014,Get All Activities Request,200,OK,Endurance Test Group 1-5,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=5,1014,0,759
1652708026212,1005,Get All Activities Request,200,OK,Endurance Test Group 1-6,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=6,1005,0,757
1652708026264,1094,Get All Activities Request,200,OK,Endurance Test Group 1-7,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=7,1094,0,834
1652708026315,1074,Get All Activities Request,200,OK,Endurance Test Group 1-8,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=8,1074,0,806
1652708027140,251,Get All Activities Request,200,OK,Endurance Test Group 1-4,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=2,251,0,0
1652708027140,251,Get All Activities Request,200,OK,Endurance Test Group 1-2,text,true,,351,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=4,251,0,0
1652708027140,253,Get All Activities Request,200,OK,Endurance Test Group 1-1,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=1,253,0,0
1652708026364,1029,Get All Activities Request,200,OK,Endurance Test Group 1-9,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=9,1029,0,769
1652708027140,255,Get All Activities Request,200,OK,Endurance Test Group 1-3,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=3,255,0,0
1652708027177,244,Get All Activities Request,200,OK,Endurance Test Group 1-5,text,true,,352,181,20,20,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?Page=1&id=5,244,0,0
