timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652703419832,1097,Get All Activities,200,OK,Stress Test Group 1-1,text,true,,3079,176,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,1097,0,828
1652703420929,241,Get 1 Activity,200,OK,Stress Test Group 1-1,text,true,,352,174,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=1,241,0,0
1652703421170,238,Delete Activity Request,200,OK,Stress Test Group 1-1,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,238,0,0
1652703420826,1035,Get All Activities,200,OK,Stress Test Group 1-2,text,true,,3109,176,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,1035,0,768
1652703421861,244,Get 1 Activity,200,OK,Stress Test Group 1-2,text,true,,351,174,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=2,244,0,0
1652703422105,242,Delete Activity Request,200,OK,Stress Test Group 1-2,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,242,0,0
1652703421826,1006,Get All Activities,200,OK,Stress Test Group 1-3,text,true,,3109,176,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,1006,0,744
1652703422831,241,Get 1 Activity,200,OK,Stress Test Group 1-3,text,true,,352,174,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=3,241,0,0
1652703423072,242,Delete Activity Request,200,OK,Stress Test Group 1-3,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,242,0,0
1652703422825,1029,Get All Activities,200,OK,Stress Test Group 1-4,text,true,,3109,176,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,1029,0,760
1652703423854,241,Get 1 Activity,200,OK,Stress Test Group 1-4,text,true,,351,174,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=4,241,0,0
1652703424095,243,Delete Activity Request,200,OK,Stress Test Group 1-4,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,243,0,0
1652703423825,1017,Get All Activities,200,OK,Stress Test Group 1-5,text,true,,3109,176,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,1017,0,749
1652703424842,240,Get 1 Activity,200,OK,Stress Test Group 1-5,text,true,,352,174,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=5,240,0,0
1652703425083,240,Delete Activity Request,200,OK,Stress Test Group 1-5,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,240,0,0
1652703424825,1026,Get All Activities,200,OK,Stress Test Group 1-6,text,true,,3109,176,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,1026,0,758
1652703425851,251,Get 1 Activity,200,OK,Stress Test Group 1-6,text,true,,351,174,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=6,251,0,0
1652703426102,245,Delete Activity Request,200,OK,Stress Test Group 1-6,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,245,0,0
1652703425826,1061,Get All Activities,200,OK,Stress Test Group 1-7,text,true,,3109,176,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,1061,0,771
1652703426888,250,Get 1 Activity,200,OK,Stress Test Group 1-7,text,true,,352,174,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=7,250,0,0
1652703427138,249,Delete Activity Request,200,OK,Stress Test Group 1-7,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,249,0,0
1652703426826,1022,Get All Activities,200,OK,Stress Test Group 1-8,text,true,,3109,176,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,1022,0,769
1652703427849,242,Get 1 Activity,200,OK,Stress Test Group 1-8,text,true,,351,174,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=8,242,0,0
1652703428092,240,Delete Activity Request,200,OK,Stress Test Group 1-8,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,240,0,0
1652703427826,1002,Get All Activities,200,OK,Stress Test Group 1-9,text,true,,3109,176,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,1002,0,744
1652703428829,243,Get 1 Activity,200,OK,Stress Test Group 1-9,text,true,,352,174,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=9,243,0,0
1652703429072,239,Delete Activity Request,200,OK,Stress Test Group 1-9,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,239,0,0
1652703428826,1002,Get All Activities,200,OK,Stress Test Group 1-10,text,true,,3079,176,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,1002,0,741
1652703429828,239,Get 1 Activity,200,OK,Stress Test Group 1-10,text,true,,353,175,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=10,239,0,0
1652703430067,239,Delete Activity Request,200,OK,Stress Test Group 1-10,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,239,0,0
1652703429827,1043,Get All Activities,200,OK,Stress Test Group 1-11,text,true,,3109,176,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,1043,0,771
1652703430870,242,Get 1 Activity,200,OK,Stress Test Group 1-11,text,true,,352,174,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=1,242,0,0
1652703431112,241,Delete Activity Request,200,OK,Stress Test Group 1-11,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,241,0,0
1652703430825,992,Get All Activities,200,OK,Stress Test Group 1-12,text,true,,3109,176,1,1,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,992,0,739
1652703431817,241,Get 1 Activity,200,OK,Stress Test Group 1-12,text,true,,351,174,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=2,241,0,0
1652703432058,240,Delete Activity Request,200,OK,Stress Test Group 1-12,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,240,0,0
1652703431824,1028,Get All Activities,200,OK,Stress Test Group 1-13,text,true,,3109,176,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,1028,0,750
1652703432852,244,Get 1 Activity,200,OK,Stress Test Group 1-13,text,true,,352,174,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=3,244,0,0
1652703433096,244,Delete Activity Request,200,OK,Stress Test Group 1-13,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,244,0,0
1652703432825,997,Get All Activities,200,OK,Stress Test Group 1-14,text,true,,3109,176,1,1,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?page=1,997,0,746
1652703433823,239,Get 1 Activity,200,OK,Stress Test Group 1-14,text,true,,351,174,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?ID=4,239,0,0
1652703434063,238,Delete Activity Request,200,OK,Stress Test Group 1-14,,true,,211,264,2,2,https://applicationtype195746-appservice.azurewebsites.net/api/Activities?id=1,238,0,0
